step,rabbit_population,fox_population
183,17083.8332620000,1537.8172670000
184,17082.3991590000,1540.3023470000
185,17080.9602960000,1542.7881620000
186,17079.5169170000,1545.2746680000
187,17078.0692560000,1547.7618190000
188,17076.6175340000,1550.2495750000
189,17075.1619610000,1552.7378920000
190,17073.7027370000,1555.2267290000
191,17072.2400510000,1557.7160450000
192,17070.7740830000,1560.2058010000
193,17069.3050050000,1562.6959580000
194,17067.8329800000,1565.1864770000
195,17066.3581620000,1567.6773210000
196,17064.8806990000,1570.1684510000
197,17063.4007310000,1572.6598330000
198,17061.9183920000,1575.1514280000
199,17060.4338090000,1577.6432030000
200,17058.9471030000,1580.1351220000
201,17057.4583900000,1582.6271500000
202,17055.9677790000,1585.1192540000
203,17054.4753760000,1587.6113990000
204,17052.9812810000,1590.1035530000
205,17051.4855900000,1592.5956820000
206,17049.9883930000,1595.0877540000
207,17048.4897790000,1597.5797380000
208,17046.9898300000,1600.0716010000
209,17045.4886270000,1602.5633120000
210,17043.9862460000,1605.0548390000
211,17042.4827600000,1607.5461530000
212,17040.9782380000,1610.0372230000
213,17039.4727480000,1612.5280180000
214,17037.9663540000,1615.0185090000
215,17036.4591180000,1617.5086660000
216,17034.9510990000,1619.9984590000
217,17033.4423540000,1622.4878590000
218,17031.9329370000,1624.9768390000
219,17030.4229020000,1627.4653680000
220,17028.9122970000,1629.9534180000
221,17027.4011730000,1632.4409610000
222,17025.8895760000,1634.9279700000
223,17024.3775510000,1637.4144150000
224,17022.8651410000,1639.9002710000
225,17021.3523900000,1642.3855080000
226,17019.8393360000,1644.8700990000
227,17018.3260210000,1647.3540190000
228,17016.8124810000,1649.8372380000
229,17015.2987530000,1652.3197320000
230,17013.7848740000,1654.8014720000
231,17012.2708770000,1657.2824340000
232,17010.7567960000,1659.7625890000
233,17009.2426630000,1662.2419120000
234,17007.7285100000,1664.7203770000
235,17006.2143680000,1667.1979580000
236,17004.7002670000,1669.6746290000
237,17003.1862350000,1672.1503640000
238,17001.6723000000,1674.6251390000
239,17000.1584910000,1677.0989260000
240,16998.6448350000,1679.5717020000
241,16997.1313560000,1682.0434400000
242,16995.6180820000,1684.5141170000
243,16994.1050360000,1686.9837060000
244,16992.5922440000,1689.4521830000
245,16991.0797300000,1691.9195230000
246,16989.5675160000,1694.3857010000
247,16988.0556270000,1696.8506940000
248,16986.5440830000,1699.3144760000
249,16985.0329090000,1701.7770230000
250,16983.5221240000,1704.2383120000
251,16982.0117510000,1706.6983170000
252,16980.5018100000,1709.1570150000
253,16978.9923220000,1711.6143820000
254,16977.4833070000,1714.0703940000
255,16975.9747850000,1716.5250270000
256,16974.4667760000,1718.9782580000
257,16972.9592990000,1721.4300620000
258,16971.4523730000,1723.8804180000
259,16969.9460160000,1726.3293000000
260,16968.4402480000,1728.7766870000
261,16966.9350860000,1731.2225540000
262,16965.4305490000,1733.6668790000
263,16963.9266540000,1736.1096380000
264,16962.4234200000,1738.5508090000
265,16960.9208620000,1740.9903690000
266,16959.4189990000,1743.4282950000
267,16957.9178480000,1745.8645640000
268,16956.4174250000,1748.2991540000
269,16954.9177480000,1750.7320420000
270,16953.4188320000,1753.1632070000
271,16951.9206930000,1755.5926250000
272,16950.4233490000,1758.0202740000
273,16948.9268150000,1760.4461320000
274,16947.4311070000,1762.8701780000
275,16945.9362410000,1765.2923880000
276,16944.4422320000,1767.7127420000
277,16942.9490960000,1770.1312170000
278,16941.4568480000,1772.5477920000
279,16939.9655030000,1774.9624450000
280,16938.4750780000,1777.3751550000
281,16936.9855860000,1779.7858990000
282,16935.4970420000,1782.1946580000
283,16934.0094620000,1784.6014080000
284,16932.5228600000,1787.0061300000
285,16931.0372510000,1789.4088010000
286,16929.5526480000,1791.8094020000
287,16928.0690680000,1794.2079110000
288,16926.5865230000,1796.6043060000
289,16925.1050290000,1798.9985680000
290,16923.6245990000,1801.3906760000
291,16922.1452470000,1803.7806080000
292,16920.6669870000,1806.1683450000
293,16919.1898340000,1808.5538660000
294,16917.7138010000,1810.9371500000
295,16916.2389010000,1813.3181780000
296,16914.7651490000,1815.6969290000
297,16913.2925580000,1818.0733830000
298,16911.8211410000,1820.4475210000
299,16910.3509130000,1822.8193210000
300,16908.8818850000,1825.1887640000
301,16907.4140720000,1827.5558310000
302,16905.9474870000,1829.9205020000
303,16904.4821430000,1832.2827570000
304,16903.0180530000,1834.6425770000
305,16901.5552300000,1836.9999420000
306,16900.0936870000,1839.3548340000
307,16898.6334360000,1841.7072320000
308,16897.1744920000,1844.0571170000
309,16895.7168660000,1846.4044720000
310,16894.2605700000,1848.7492760000
311,16892.8056190000,1851.0915110000
312,16891.3520240000,1853.4311580000
313,16889.8997970000,1855.7681980000
314,16888.4489520000,1858.1026140000
315,16886.9995000000,1860.4343850000
316,16885.5514540000,1862.7634940000
317,16884.1048260000,1865.0899230000
318,16882.6596290000,1867.4136530000
319,16881.2158740000,1869.7346660000
320,16879.7735730000,1872.0529450000
321,16878.3327390000,1874.3684700000
322,16876.8933830000,1876.6812250000
323,16875.4555170000,1878.9911910000
324,16874.0191540000,1881.2983510000
325,16872.5843040000,1883.6026880000
326,16871.1509800000,1885.9041830000
327,16869.7191930000,1888.2028200000
328,16868.2889550000,1890.4985810000
329,16866.8602770000,1892.7914480000
330,16865.4331710000,1895.0814060000
331,16864.0076480000,1897.3684360000
332,16862.5837190000,1899.6525220000
333,16861.1613970000,1901.9336470000
334,16859.7406910000,1904.2117950000
335,16858.3216140000,1906.4869480000
336,16856.9041760000,1908.7590900000
337,16855.4883880000,1911.0282050000
338,16854.0742620000,1913.2942760000
339,16852.6618080000,1915.5572880000
340,16851.2510380000,1917.8172240000
341,16849.8419610000,1920.0740670000
342,16848.4345890000,1922.3278030000
343,16847.0289320000,1924.5784140000
344,16845.6250020000,1926.8258860000
345,16844.2228080000,1929.0702030000
346,16842.8223620000,1931.3113490000
347,16841.4236730000,1933.5493090000
348,16840.0267520000,1935.7840670000
349,16838.6316090000,1938.0156080000
350,16837.2382560000,1940.2439170000
351,16835.8467010000,1942.4689790000
352,16834.4569550000,1944.6907800000
353,16833.0690290000,1946.9093030000
354,16831.6829310000,1949.1245340000
355,16830.2986730000,1951.3364600000
356,16828.9162640000,1953.5450640000
357,16827.5357140000,1955.7503330000
358,16826.1570330000,1957.9522520000
359,16824.7802310000,1960.1508080000
360,16823.4053160000,1962.3459850000
